alias_id,canonical_key,canonical_name_en,alias_text,alias_lang,alias_type,is_preferred,source,source_priority
ALIAS-001474,sweet sticky rice cakes (3 pieces),Sweet sticky rice cakes (3 pieces),banh day ngot 3 cai,vi,non_diacritic,False,NIN,1
ALIAS-001475,chicken vermicelli soup,Chicken vermicelli soup,bun ga,vi,non_diacritic,False,NIN,1
ALIAS-001476,sticky rice cake with pork sausage,Sticky rice cake with pork sausage,banh day gio,vi,non_diacritic,False,NIN,1
ALIAS-001477,muscovy duck noodle soup,Muscovy duck noodle soup,bun ngan,vi,non_diacritic,False,NIN,1
ALIAS-001478,fried bánh chưng,Fried bánh chưng,banh chung ran,vi,non_diacritic,False,NIN,1
ALIAS-001479,fermented fish noodle soup,Fermented fish noodle soup,bun ngam,vi,non_diacritic,False,NIN,1
ALIAS-001480,sweet glutinous rice balls (10 pieces),Sweet glutinous rice balls (10 pieces),banh chay (10 vien),vi,non_diacritic,False,NIN,1
ALIAS-001481,snail rice noodles,Snail rice noodles,bun oc,vi,non_diacritic,False,NIN,1
ALIAS-001482,mung bean shredded sticky rice,Mung bean shredded sticky rice,xoi xeo,vi,non_diacritic,False,NIN,1
ALIAS-001483,ms. mit's snail noodle soup,Ms. Mit's Snail Noodle Soup,bun oc co mit,vi,non_diacritic,False,NIN,1
ALIAS-001484,khúc sticky rice cake,Khúc sticky rice cake,xoi khuc,vi,non_diacritic,False,NIN,1
ALIAS-001485,crab and pork rib noodle soup,Crab and Pork Rib Noodle Soup,bun rieu cua suon sun,vi,non_diacritic,False,NIN,1
ALIAS-001486,sweet sticky rice with pudding,Sweet sticky rice with pudding,xoi che,vi,non_diacritic,False,NIN,1
ALIAS-001487,clam porridge,Clam porridge,chao trai,vi,non_diacritic,False,NIN,1
ALIAS-001488,meat porridge,Meat porridge,chao thit,vi,non_diacritic,False,NIN,1
ALIAS-001489,heart porridge,Heart porridge,chao tim,vi,non_diacritic,False,NIN,1
ALIAS-001490,pork rib porridge,Pork rib porridge,chao suon,vi,non_diacritic,False,NIN,1
ALIAS-001491,pork offal porridge,Pork offal porridge,chao long,vi,non_diacritic,False,NIN,1
ALIAS-001492,mung bean porridge,Mung bean porridge,chao do xanh,vi,non_diacritic,False,NIN,1
ALIAS-001493,chicken broth noodle soup,Chicken broth noodle soup,bun thang,vi,non_diacritic,False,NIN,1
ALIAS-001494,crab paste noodle soup,Crab paste noodle soup,bun rieu cua,vi,non_diacritic,False,NIN,1
ALIAS-001495,duck noodle soup,Duck noodle soup,bun ngan,vi,non_diacritic,False,NIN,1
ALIAS-001496,pork trotter noodle soup,Pork trotter noodle soup,bun mong gio,vi,non_diacritic,False,NIN,1
ALIAS-001497,fermented shrimp paste noodle platter,Fermented shrimp paste noodle platter,bun dau mam tom,vi,non_diacritic,False,NIN,1
ALIAS-001498,fish noodle soup,Fish noodle soup,bun ca,vi,non_diacritic,False,NIN,1
ALIAS-001499,tamarind stir-fried duck,Tamarind stir-fried duck,vit rang me,vi,non_diacritic,False,NIN,1
ALIAS-001500,grilled meat skewers (5 pieces),Grilled meat skewers (5 pieces),thit xien nuong (5 cai),vi,non_diacritic,False,NIN,1
ALIAS-001501,glutinous rice balls in ginger syrup,Glutinous rice balls in ginger syrup,sui din,vi,non_diacritic,False,NIN,1
ALIAS-001502,freshly fried dough sticks,Freshly fried dough sticks,quay nong,vi,non_diacritic,False,NIN,1
ALIAS-001503,dried beef salad,Dried beef salad,nom bo kho,vi,non_diacritic,False,NIN,1
ALIAS-001504,fermented and toasted rice pork roll,Fermented and toasted rice pork roll,nem thinh,vi,non_diacritic,False,NIN,1
ALIAS-001505,fried spring rolls (5 pieces),Fried spring rolls (5 pieces),nem ran (5 cai),vi,non_diacritic,False,NIN,1
ALIAS-001506,grilled spring roll vermicelli,Grilled spring roll vermicelli,bun nem nuong,vi,non_diacritic,False,NIN,1
ALIAS-001507,grilled minced pork skewers,Grilled minced pork skewers,nem lui nuong,vi,non_diacritic,False,NIN,1
ALIAS-001508,grilled minced pork skewers,Grilled minced pork skewers,nem lui,vi,non_diacritic,False,NIN,1
